Epoch,Joint,Rec,KLD
439,234.007,0.297,0.611
440,233.782,0.297,0.615
441,234.291,0.298,0.601
442,232.808,0.296,0.604
443,232.397,0.296,0.608
444,232.101,0.296,0.603
445,231.898,0.295,0.602
446,231.634,0.295,0.603
447,231.637,0.295,0.600
448,231.329,0.295,0.596
449,231.753,0.296,0.600
450,233.082,0.298,0.598
451,230.747,0.295,0.595
452,231.031,0.296,0.598
453,230.927,0.295,0.600
454,229.473,0.294,0.595
455,230.092,0.295,0.594
456,230.425,0.295,0.594
457,230.591,0.296,0.588
458,229.197,0.294,0.588
459,228.887,0.294,0.589
460,230.591,0.297,0.583
461,230.259,0.296,0.591
462,229.120,0.295,0.586
463,230.016,0.296,0.583
464,228.900,0.295,0.588
465,228.809,0.295,0.582
466,228.390,0.295,0.586
467,228.457,0.295,0.585
468,228.151,0.295,0.581
469,228.272,0.295,0.581
470,228.298,0.295,0.583
471,227.909,0.295,0.579
472,226.396,0.293,0.579
473,227.088,0.294,0.581
474,227.687,0.295,0.576
475,227.915,0.296,0.580
476,226.325,0.294,0.578
477,226.750,0.294,0.579
478,227.261,0.295,0.570
479,226.761,0.295,0.570
480,226.443,0.294,0.573
481,225.472,0.293,0.576
482,225.204,0.293,0.573
483,226.388,0.295,0.565
484,226.250,0.295,0.568
485,225.435,0.294,0.564
486,225.101,0.294,0.563
487,225.317,0.294,0.563
488,226.004,0.295,0.567
489,224.208,0.293,0.564
490,225.247,0.295,0.563
491,225.121,0.295,0.553
492,224.795,0.295,0.555
493,224.623,0.294,0.559
494,223.643,0.293,0.559
495,223.837,0.294,0.557
496,224.597,0.295,0.554
497,223.322,0.293,0.555
498,223.937,0.295,0.555
499,222.212,0.292,0.555
500,222.721,0.293,0.554
501,224.644,0.296,0.549
502,222.660,0.294,0.550
503,222.088,0.293,0.546
504,222.624,0.294,0.551
505,221.848,0.293,0.549
506,221.657,0.293,0.548
507,221.652,0.293,0.547
508,222.649,0.295,0.546
509,220.938,0.292,0.545
510,222.767,0.295,0.545
511,223.090,0.296,0.550
512,221.662,0.294,0.544
513,221.198,0.294,0.541
514,222.040,0.295,0.542
515,221.208,0.294,0.540
516,219.971,0.292,0.541
517,220.198,0.293,0.544
518,219.539,0.292,0.541
519,220.916,0.294,0.537
520,221.155,0.295,0.532
521,220.236,0.294,0.540
522,219.798,0.293,0.538
523,218.303,0.292,0.530
524,219.069,0.293,0.533
525,219.279,0.293,0.530
526,218.016,0.292,0.532
527,218.869,0.293,0.532
528,219.312,0.294,0.531
529,219.214,0.294,0.528
530,219.096,0.294,0.530
531,219.128,0.294,0.523
532,217.530,0.292,0.527
533,217.781,0.293,0.524
534,218.301,0.294,0.523
535,217.491,0.293,0.527
536,218.567,0.294,0.524
537,217.744,0.293,0.525
538,217.489,0.293,0.521
539,215.983,0.291,0.516
540,215.593,0.291,0.517
541,215.579,0.291,0.516
542,215.411,0.291,0.516
543,217.128,0.294,0.515
544,215.324,0.291,0.520
545,215.289,0.292,0.515
546,215.735,0.292,0.516
547,215.226,0.292,0.510
548,216.054,0.293,0.515
549,217.948,0.296,0.513
550,215.984,0.293,0.512
551,214.934,0.292,0.510
552,215.763,0.294,0.510
553,214.773,0.292,0.507
554,215.021,0.293,0.510
555,214.095,0.292,0.502
556,214.455,0.292,0.508
557,214.235,0.292,0.504
558,214.335,0.293,0.505
559,212.778,0.291,0.506
560,214.504,0.293,0.505
561,213.396,0.292,0.509
562,213.620,0.292,0.501
563,214.619,0.294,0.500
564,214.222,0.294,0.499
565,211.662,0.290,0.502
566,212.747,0.292,0.498
567,213.687,0.294,0.500
568,212.195,0.291,0.502
569,212.645,0.292,0.497
570,211.730,0.291,0.494
571,213.641,0.294,0.493
572,211.401,0.291,0.494
573,211.753,0.292,0.494
574,211.654,0.292,0.495
575,211.189,0.291,0.498
576,211.887,0.293,0.491
577,212.112,0.293,0.490
578,210.406,0.291,0.491
579,210.254,0.291,0.492
580,210.141,0.291,0.490
581,211.065,0.293,0.488
582,209.689,0.291,0.493
583,209.966,0.291,0.488
584,210.336,0.292,0.485
585,208.601,0.290,0.485
586,210.294,0.292,0.487
587,209.096,0.291,0.480
588,209.423,0.291,0.488
589,210.134,0.293,0.485
590,208.642,0.291,0.486
591,208.730,0.291,0.481
592,209.896,0.293,0.478
593,210.481,0.294,0.479
594,208.592,0.291,0.482
595,208.886,0.292,0.477
596,208.368,0.292,0.477
597,208.007,0.291,0.476
598,207.547,0.291,0.479
599,208.301,0.292,0.474
600,207.208,0.291,0.478
601,206.648,0.290,0.480
602,206.727,0.291,0.470
603,207.098,0.291,0.475
604,207.080,0.291,0.477
605,206.069,0.290,0.468
606,208.494,0.294,0.465
607,206.770,0.292,0.469
608,205.041,0.289,0.472
609,207.324,0.293,0.466
610,205.308,0.290,0.466
611,205.620,0.291,0.470
612,205.867,0.291,0.465
613,205.911,0.291,0.469
614,204.266,0.289,0.466
615,207.824,0.295,0.465
616,205.489,0.291,0.465
617,207.246,0.294,0.459
618,205.103,0.291,0.463
619,205.035,0.291,0.462
620,204.906,0.291,0.462
621,203.250,0.289,0.459
622,202.561,0.288,0.463
623,203.616,0.290,0.461
624,204.145,0.291,0.451
625,202.473,0.289,0.456
626,203.765,0.291,0.456
627,203.262,0.290,0.457
628,204.276,0.292,0.458
629,204.201,0.292,0.452
630,202.302,0.290,0.453
631,202.787,0.291,0.452
632,202.729,0.291,0.453
633,202.114,0.290,0.455
634,201.735,0.290,0.454
635,202.413,0.291,0.454
636,202.456,0.291,0.451
637,201.806,0.290,0.454
638,202.381,0.292,0.446
